index,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state,isDirty,errRule,errCol,pk
1,1436,Pub Beer,American Pale Lager,12.0 oz,0.05,,408,10 Barrel Brewing Company,Bend,OR,True,;Incorrect_Format,;ounces,0
2,2265,Devil's Cup,American Pale Ale (APA),12.0 oz.,0.066,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format,;ounces,1
3,2264,Rise of the Phoenix,American IPA,12.0 ounce,0.071,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format,;ounces,2
4,2263,Sinister,American Double / Imperial IPA,12.0 oz,0.09%,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,3
5,2262,Sex and Candy,American IPA,12.0 OZ.,0.075,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format,;ounces,4
6,2261,Black Exodus,Oatmeal Stout,12.0 oz,0.077,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format,;ounces,5
7,2260,Lake Street Express,American Pale Ale (APA),12.0 oz.,0.045%,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,6
8,2259,Foreman,American Porter,12.0 ounce,0.065,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format,;ounces,7
9,2258,Jade,American Pale Ale (APA),12.0 oz.,0.055,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format,;ounces,8
10,2131,Cone Crusher,American Double / Imperial IPA,12.0 ounce,0.086,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format,;ounces,9
11,2099,Sophomoric Saison,Saison / Farmhouse Ale,12.0 oz.,0.072,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format,;ounces,10
12,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0 oz.,0.073,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format,;ounces,11
13,2097,Garce Selé,Saison / Farmhouse Ale,12.0 OZ.,0.069%,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,12
14,1980,Troll Destroyer,Belgian IPA,12.0 oz.,0.085,,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format,;ounces,13
15,1979,Bitter Bitch,American Pale Ale (APA),12.0 ounce,0.061%,60.0,177,18th Street Brewery,Gary,IN,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,14
16,2318,Ginja Ninja,Cider,12.0 ounce,0.06,,154,2 Towns Ciderhouse,Corvallis,OR,True,;Incorrect_Format,;ounces,15
17,2170,Cherried Away,Cider,12.0 oz.,0.06,,154,2 Towns Ciderhouse,Corvallis,OR,True,;Incorrect_Format,;ounces,16
18,2169,Rhubarbarian,Cider,12.0 oz. Alumi-Tek,0.06,,154,2 Towns Ciderhouse,Corvallis,OR,True,;Incorrect_Format,;ounces,17
19,1502,BrightCider,Cider,12.0 ounce,0.06,,154,2 Towns Ciderhouse,Corvallis,OR,True,;Incorrect_Format,;ounces,18
20,1593,He Said Baltic-Style Porter,Baltic Porter,12.0 oz.,0.082,,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,19
21,1592,He Said Belgian-Style Tripel,Tripel,12.0 oz.,0.082,,368,21st Amendment Brewery,San Francisco CA,,True,;Incorrect_Format;embeddedValue;explicitMissingValue,;ounces;city;state,20
22,1036,Lower De Boom,American Barleywine,8.4 ounce,0.099,92.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,21
23,1024,Fireside Chat,Winter Warmer,12.0 OZ.,0.079,45.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,22
24,976,Marooned On Hog Island,American Stout,12.0 oz.,0.079,,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,23
25,876,Bitter American,American Pale Ale (APA),12.0 oz,0.044,42.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,24
26,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0 ounce,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,25
27,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0 oz.,0.049%,17.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,26
28,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0 oz.,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,27
29,799,21st Amendment IPA (2006),American IPA,12.0 oz.,0.07,70.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,28
30,797,Brew Free! or Die IPA (2008),American IPA,12.0 OZ.,0.07%,70.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,29
31,796,Brew Free! or Die IPA (2009),American IPA,12.0 oz.,0.07%,70.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,30
32,531,Special Edition: Allies Win The War!,English Strong Ale,12.0 oz.,0.085,52.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,31
33,432,Hop Crisis,American Double / Imperial IPA,12.0 oz.,0.097,94.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,32
34,353,Bitter American (2011),American Pale Ale (APA),12.0 oz,0.044,42.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,33
35,321,Fireside Chat (2010),Winter Warmer,12.0 ounce,0.079%,45.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,34
36,173,Back in Black,American Black Ale,12.0 ounce,0.068%,65.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,35
37,11,Monk's Blood,Belgian Dark Ale,12.0 OZ.,0.083,35.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,36
38,10,Brew Free! or Die IPA,American IPA,12.0 oz.,0.07,65.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,37
39,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12.0 oz.,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA,True,;Incorrect_Format,;ounces,38
40,2519,Bimini Twist,American IPA,12.0 ounce,0.07,82.0,67,3 Daughters Brewing,St Petersburg,FL,True,;Incorrect_Format,;ounces,39
41,2518,Beach Blonde,American Blonde Ale,12.0 oz.,0.05,,67,3 Daughters Brewing,St Petersburg,FL,True,;Incorrect_Format,;ounces,40
42,2517,Rod Bender Red,American Amber / Red Ale,12.0 oz.,0.059,,67,3 Daughters Brewing,St Petersburg,FL,True,;Incorrect_Format,;ounces,41
43,2545,Passion Fruit Prussia,Berliner Weissbier,12.0 oz,0.035,11.0,60,4 Hands Brewing Company,Saint Louis,MO,True,;Incorrect_Format,;ounces,42
44,2544,Send Help,American Blonde Ale,12.0 oz,0.045%,18.0,60,4 Hands Brewing Company,Saint Louis,MO,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,43
45,2324,Cast Iron Oatmeal Brown,American Brown Ale,12.0 oz,0.055%,,60,4 Hands Brewing Company,Saint Louis,MO,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,44
46,2288,Reprise Centennial Red,American Amber / Red Ale,12.0 oz.,0.06,,60,4 Hands Brewing Company,Saint Louis,MO,True,;Incorrect_Format,;ounces,45
47,2287,Alter Ego,American Black Ale,12.0 oz.,0.055%,,60,4 Hands Brewing Company,Saint Louis,MO,True,;Incorrect_Format;Incorrect_Format,;ounces;abv,46
