tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time,isDirty,errRule,errCol,pk
1,aa,AA-3859-IAH-ORD,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:32 a.m.,False,,,0
2,aa,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,10:30 p.m.,,True,;explicitMissingValue,;act_arr_time,1
3,aa,AA-1640-MIA-MCO,6:30 p.m.,,7:25 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,2
4,aa,AA-518-MIA-JFK,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.,False,,,3
5,aa,AA-3756-ORD-SLC,12:15 p.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.,False,,,4
6,aa,AA-204-LAX-MCO,11:25 p.m.,,12/02/2011 6:55 a.m.,,True,;explicitMissingValue;Incorrect_Format;explicitMissingValue,;act_dep_time;sched_arr_time;act_arr_time,5
7,aa,AA-3468-CVG-MIA,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:45 a.m.,False,,,6
8,aa,AA-484-DFW-MIA,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.,False,,,7
9,aa,AA-446-DFW-PHL,11:50 a.m.,12:12 p.m.,3:50 p.m.,4:09 p.m.,False,,,8
10,aa,AA-466-IAH-MIA,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.,False,,,9
11,aa,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.,False,,,10
12,aa,AA-2957-DFW-CVG,7:55 a.m.,8:04 a.m.,11:05 a.m.,11:01 a.m.,False,,,11
13,aa,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.,False,,,12
14,aa,AA-3979-CVG-ORD,7:30 a.m.,8:04 a.m.,8:00 a.m.,8:06 a.m.,False,,,13
15,aa,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.,False,,,14
16,aa,AA-616-DFW-DTW,9:05 a.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.,False,,,15
17,aa,AA-4344-ORD-DTW,11:45 a.m.,12:13 p.m.,2:00 p.m.,2:10 p.m.,False,,,16
18,aa,AA-2525-DFW-MIA,7:25 a.m.,7:39 a.m.,11:10 a.m.,11:06 a.m.,False,,,17
19,aa,AA-404-MIA-MCO,6:45 a.m.,6:57 a.m.,7:45 a.m.,7:40 a.m.,False,,,18
20,aa,AA-271-MIA-LAX,11:35 a.m.,11:52 a.m.,2:25 p.m.,2:27 p.m.,False,,,19
21,aa,AA-2050-ORD-MIA,10:40 a.m.,11:05 a.m.,2:45 p.m.,2:46 p.m.,False,,,20
22,aa,AA-4330-CVG-ORD,3:35 p.m.,3:36 p.m.,4:00 p.m.,3:33 p.m.,False,,,21
23,aa,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.,False,,,22
24,aa,AA-4307-ORD-DTW,6:45 p.m.,6:55 p.m.,9:10 p.m.,8:53 p.m.,False,,,23
25,aa,AA-3-JFK-LAX,12:00 p.m.,12:11 p.m.,3:15 p.m.,3:16 p.m.,False,,,24
26,aa,AA-3842-MSP-ORD,6:00 a.m.,6:56 a.m.,7:30 a.m.,7:51 a.m.,False,,,25
27,aa,AA-643-MIA-ORD,7:10 a.m.,7:30 a.m.,9:35 a.m.,9:31 a.m.,False,,,26
28,aa,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.,False,,,27
29,aa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.,False,,,28
30,aa,AA-400-DFW-JFK,10:40 a.m.,11:01 a.m.,2:59 p.m.,3:04 p.m.,False,,,29
31,aa,AA-4198-ORD-CLE,10:40 a.m.,10:54 a.m.,12:55 p.m.,12:50 p.m.,False,,,30
32,aa,AA-1522-SFO-ORD,11:55 p.m.,,12/02/2011 5:50 a.m.,,True,;explicitMissingValue;Incorrect_Format;explicitMissingValue,;act_dep_time;sched_arr_time;act_arr_time,31
33,aa,AA-3823-LAX-DEN,9:00 p.m.,,12/02/2011 12:15 a.m.,,True,;explicitMissingValue;Incorrect_Format;explicitMissingValue,;act_dep_time;sched_arr_time;act_arr_time,32
34,aa,AA-2312-DFW-DTW,8:25 p.m.,,11:50 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,33
35,aa,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.,False,,,34
36,aa,AA-431-MIA-SFO,8:35 a.m.,8:51 a.m.,11:50 a.m.,11:44 a.m.,False,,,35
37,aa,AA-649-ORD-SNA,1:30 p.m.,,3:50 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,36
38,aa,AA-3063-SLC-LAX,8:20 p.m.,8:39 p.m.,9:20 p.m.,,True,;explicitMissingValue,;act_arr_time,37
39,aa,AA-3804-PHL-ORD,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:43 p.m.,False,,,38
40,aa,AA-1917-JFK-MCO,2:55 p.m.,3:27 p.m.,5:55 p.m.,5:43 p.m.,False,,,39
41,aa,AA-2268-PHX-ORD,7:15 a.m.,7:22 a.m.,11:35 a.m.,11:06 a.m.,False,,,40
42,aa,AA-4277-CVG-JFK,12:10 p.m.,12:10 p.m.,2:15 p.m.,1:43 p.m.,False,,,41
43,aa,AA-789-ORD-DEN,1:05 p.m.,1:19 p.m.,2:35 p.m.,3:13 p.m.,False,,,42
44,aa,AA-415-BOS-ORD,8:35 a.m.,8:56 a.m.,10:40 a.m.,10:16 a.m.,False,,,43
45,aa,AA-85-JFK-SFO,3:05 p.m.,3:36 p.m.,6:30 p.m.,6:43 p.m.,False,,,44
46,aa,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.,False,,,45
47,aa,AA-3786-IAH-ORD,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:15 p.m.,False,,,46
48,aa,AA-222-LAX-BOS,7:10 a.m.,7:31 a.m.,3:30 p.m.,3:14 p.m.,False,,,47
49,aa,AA-3809-PHX-LAX,6:00 a.m.,6:10 a.m.,6:40 a.m.,6:19 a.m.,False,,,48
50,aa,AA-59-JFK-SFO,7:10 a.m.,7:39 a.m.,10:45 a.m.,11:12 a.m.,False,,,49
51,helloflight,AA-3859-IAH-ORD,,7:16 a.m.,,9:22 a.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,50
52,helloflight,CO-1586-IAH-MCO,7:00 p.m.,,10:15 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,51
53,helloflight,AA-518-MIA-JFK,,6:54 a.m.,,9:14 a.m.,True,;explicitMissingValue;explicitMissingValue;spellingMistake,;sched_dep_time;sched_arr_time;act_arr_time,52
54,helloflight,UA-397-JFK-SFO,,8:48 a.m.,,11:30 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,53
55,helloflight,UA-3925-IAD-ORF,,9:00 a.m.,,9:29 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,54
56,helloflight,AA-1733-ORD-PHX,,7:59 p.m.,,10:31 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,55
57,helloflight,UA-2830-MCO-CLT,,3:50 p.m.,,5:14 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,56
58,helloflight,CO-58-DEN-IAH,11:25 a.m.,,2:50 p.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,57
59,helloflight,AA-1544-SAN-ORD,,11:41 a.m.,,4:54 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,58
60,helloflight,UA-5487-SFO-MRY,,10:53 a.m.,,11:11 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,59
61,helloflight,AA-204-LAX-MCO,,11:29 p.m.,,12/2/11 6:35 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;Incorrect_Format,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,60
62,helloflight,UA-414-LAX-SFO,,6:10 a.m.,,7:04 a.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,61
63,helloflight,CO-1614-LAX-IAH,12:30 a.m.,,5:35 a.m.,,True,;explicitMissingValue;explicitMissingValue,;act_dep_time;act_arr_time,62
64,helloflight,UA-2726-FLL-PHL,,4:10 p.m.,,6:25 p.m.,True,;explicitMissingValue;spellingMistake;explicitMissingValue;spellingMistake,;sched_dep_time;act_dep_time;sched_arr_time;act_arr_time,63
